Word,Count
winter,6
copy,16
standard,5
history,21
magical,29
theory,6
guide,11
transfiguration,13
thousand,57
herb,5
potion,79
fantastic,5
beast,14
self,48
protection,7
cauldron,43
scale,10
broomstick,51
aloud,9
stuck,16
barrier,23
slow,11
climbed,26
lined,6
parted,16
music,14
store,7
nowhere,5
sell,6
pile,23
buried,14
sold,11
trusting,5
halt,13
leaky,12
grubby,7
hurrying,20
record,25
shabby,5
women,40
drinking,7
pipe,23
smiled,46
tom,23
peering,12
bl,19
soul,71
honor,13
bar,22
welcome,22
scraping,6
delighted,9
excitement,24
twitching,6
quirrell,112
meet,70
defense,16
art,46
n,18
pick,21
b,10
vampire,35
babble,5
courtyard,14
grinned,11
brilliant,26
experience,30
quivered,7
wider,7
facing,15
archway,6
twisted,19
alley,24
shrink,7
instantly,7
solid,22
brightly,18
stack,8
stirring,7
hanging,39
plump,7
sickle,7
soft,27
screech,7
nimbu,24
selling,6
instrument,6
barrel,5
bat,26
scarlet,21
clever,24
upon,81
enter,26
heed,6
seek,20
treasure,5
warned,16
beware,5
finding,10
marble,22
stool,13
counter,13
examining,10
leading,12
scattering,5
glowing,6
closely,16
chest,21
thirteen,9
handing,10
griphook,12
trusted,8
narrow,24
passageway,18
flaming,9
torche,6
steeply,5
downward,11
railway,5
track,17
difficulty,24
hurtled,7
twisting,7
passage,33
fork,5
impossible,15
rattling,7
plunged,8
deeper,13
lake,14
unlocked,8
smoke,21
heap,9
blinking,5
fortune,10
helped,15
galleon,9
gathering,7
became,53
colder,6
leaned,26
melted,9
sucked,5
check,16
extraordinary,10
fabulou,5
ride,8
pound,7
malkin,7
occasion,20
nervou,31
pinned,10
pin,9
length,15
hello,20
drag,6
broom,65
play,42
quidditch,102
crime,6
slytherin,178
hufflepuff,40
interesting,23
grinning,16
show,71
servant,15
liking,5
savage,5
drunk,6
trie,7
setting,15
slight,10
sneer,8
excuse,19
cheered,6
color,26
wrote,31
soccer,6
played,9
flourish,9
blott,6
cover,20
symbol,6
enemie,10
los,9
circumstance,15
study,44
ingredient,7
fascinating,9
mixture,9
slimy,6
jar,6
root,10
powder,14
feather,25
fang,63
hung,28
unicorn,26
horn,10
checked,6
rustling,8
cage,25
beautiful,34
wing,54
ollivander,20
dusty,11
bell,28
depth,8
strict,7
occurred,12
boxe,48
piled,8
dust,31
shining,16
gloom,20
awkwardly,6
quarter,18
inche,21
willow,8
charm,36
silvery,6
excellent,30
choose,13
reflected,8
misty,8
softly,29
yew,8
oak,15
shuffling,6
added,56
gripped,8
tightly,15
measure,14
elbow,15
phoenix,11
result,19
nostril,16
crumpled,6
snatched,10
higher,17
happier,8
tricky,7
match,47
combination,5
sudden,48
stream,13
spark,11
clapped,20
curiou,20
muttering,19
whose,43
brother,33
named,12
paid,10
laden,7
bite,7
plastic,6
beginning,27
king,22
cros,27
send,54
shell,9
platform,34
hedwig,33
august,29
lift,14
barking,5
bother,7
hospital,32
ruddy,7
removed,12
goe,26
excited,19
trunk,40
talked,14
wheeled,8
built,10
laughing,23
dry,21
attract,5
guard,26
desperate,19
arrival,12
board,27
it;,7
packed,16
pushing,7
boys,7
headed,20
ginny,118
percy,112
marched,14
fred,137
george,120
joking,7
briskly,8
ron,1131
youngest,7
freckle,5
okay,23
trolley,9
steam,12
expr,12
wrought,6
drifted,8
chattering,7
wound,36
carriage,15
search,29
gran,7
neville,146
sigh,10
surrounded,7
lee,16
lifted,26
hairy,11
compartment,12
raise,14
painfully,6
haired,18
panted,10
oy,5
sweaty,8
floating,17
striding,9
badge,9
prefect,38
themselve,55
hang,18
yourselve,8
rubbed,10
hey,6
is,12
whistle,13
waving,19
gathered,17
disappear,11
rounded,8
flashed,5
glanced,12
jordan,16
introduce,5
weasley,250
blurted,5
wish,66
charlie,27
captain,25
deal,39
scabber,15
usel,8
afford,11
impressed,7
brave,40
quick,65
sheep,5
flick,7
corridor,89
sandwiche,9
candy,8
mar,5
flavor,10
bean,9
gum,7
pumpkin,14
mis,92
starving,5
unwrapped,5
forget,49
share,9
eating,17
card,27
considered,7
modern,5
particularly,21
defeat,8
discovery,7
blood,150
partner,9
nicola,14
flamel,26
enjoy,9
chamber,106
